Name,Symbol,Date,High,Low,Open,Close,Volume
Ethereum,ETH,22/10/2017,305.502014,292.813995,300.549011,295.446014,327387008
Ethereum,ETH,23/10/2017,295.747986,277.575012,295.096008,286.950012,482336000
Ethereum,ETH,24/10/2017,311.958008,282.65799,287.119995,298.328003,684281024
Ethereum,ETH,25/10/2017,301.848999,290.717987,298.437012,297.924988,325040000
Ethereum,ETH,26/10/2017,301.06601,295.222992,298.022003,296.527008,270272992
Ethereum,ETH,27/10/2017,299.256012,294.05899,296.507996,297.423004,257168992
Ethereum,ETH,28/10/2017,300.356995,293.584991,297.915009,296.298004,264424000
Ethereum,ETH,29/10/2017,313.755005,296.381012,296.381012,305.088013,551752000
Ethereum,ETH,30/10/2017,310.496002,304.35199,304.782013,307.751007,331441984
Ethereum,ETH,31/10/2017,310.548004,305.878998,307.377991,305.878998,369583008
Ethereum,ETH,01/11/2017,306.401001,290.583008,305.761993,291.694,553864000
Ethereum,ETH,02/11/2017,293.907013,281.171997,290.725006,287.428986,904900992
Ethereum,ETH,03/11/2017,308.312988,287.692993,288.497009,305.710999,646339968
Ethereum,ETH,04/11/2017,305.480988,295.802002,305.480988,300.468994,416479008
Ethereum,ETH,05/11/2017,301.371002,295.117004,300.036987,296.263,337657984
Ethereum,ETH,06/11/2017,305.415009,293.71701,296.427002,298.891998,579358976
Ethereum,ETH,07/11/2017,304.84201,290.766998,298.567993,294.658997,540766016
Ethereum,ETH,08/11/2017,318.701996,293.102997,294.270996,309.070007,967955968
Ethereum,ETH,09/11/2017,329.451996,307.056,308.644989,320.884003,893249984
Ethereum,ETH,10/11/2017,324.717987,294.541992,320.67099,299.252991,885985984
Ethereum,ETH,11/11/2017,319.453003,298.191986,298.585999,314.681,842300992
Ethereum,ETH,12/11/2017,319.153015,298.513,314.690002,307.90799,1613479936
Ethereum,ETH,13/11/2017,328.415009,307.024994,307.024994,316.716003,1041889984
Ethereum,ETH,14/11/2017,340.177002,316.763,316.763,337.631012,1069680000
Ethereum,ETH,15/11/2017,340.911987,329.812988,337.963989,333.356995,722665984
Ethereum,ETH,16/11/2017,336.158997,323.605988,333.442993,330.924011,797254016
Ethereum,ETH,17/11/2017,334.963989,327.52301,330.166992,332.394012,621732992
Ethereum,ETH,18/11/2017,349.615997,327.687012,331.980011,347.612,649638976
Ethereum,ETH,19/11/2017,371.290985,344.73999,347.401001,354.385986,1181529984
Ethereum,ETH,20/11/2017,372.136993,353.289001,354.093994,366.730011,807027008
Ethereum,ETH,21/11/2017,372.470001,350.692993,367.442993,360.401001,949912000
Ethereum,ETH,22/11/2017,381.420013,360.147003,360.312012,380.652008,800819008
Ethereum,ETH,23/11/2017,425.548004,376.088013,381.438995,410.165985,1845680000
Ethereum,ETH,24/11/2017,480.972992,402.757996,412.501007,474.911011,2292829952
Ethereum,ETH,25/11/2017,485.191986,461.053009,475.675995,466.276001,1422080000
Ethereum,ETH,26/11/2017,472.722992,451.605988,465.973999,471.329987,1197779968
Ethereum,ETH,27/11/2017,493.404999,468.484985,471.531006,480.355011,1396480000
Ethereum,ETH,28/11/2017,482.480011,466.346985,480.518005,472.902008,1346499968
Ethereum,ETH,29/11/2017,522.307007,425.071014,473.281006,427.52301,2675940096
Ethereum,ETH,30/11/2017,465.497009,401.243011,431.214996,447.114014,1903040000
Ethereum,ETH,01/12/2017,472.609009,428.312012,445.209015,466.540009,1247879936
Ethereum,ETH,02/12/2017,476.239014,456.653015,466.851013,463.449005,943649984
Ethereum,ETH,03/12/2017,482.813995,451.85199,463.704987,465.852997,990556992
Ethereum,ETH,04/12/2017,474.777008,453.312012,466.053986,470.20401,1005550016
Ethereum,ETH,05/12/2017,473.558014,457.660004,470.294006,463.281006,1216720000
Ethereum,ETH,06/12/2017,462.708008,420.209991,462.604004,428.588013,1998259968
Ethereum,ETH,07/12/2017,441.397003,414.411011,426.368988,434.40799,2129570048
Ethereum,ETH,08/12/2017,466.062012,422.367004,434.989014,456.031006,2336379904
Ethereum,ETH,09/12/2017,504.147003,456.252991,457.343994,473.502014,2003849984
Ethereum,ETH,10/12/2017,472.789001,429.514008,472.789001,441.721008,1404179968
Ethereum,ETH,11/12/2017,516.968994,439.104004,440.358002,515.135986,1771440000
Ethereum,ETH,12/12/2017,657.317993,504.493988,522.286011,651.43103,5179829760
Ethereum,ETH,13/12/2017,747.992981,597.797974,644.906006,702.767029,4524539904
Ethereum,ETH,14/12/2017,753.120972,664.989014,700.593994,695.815979,3821580032
Ethereum,ETH,15/12/2017,697.132019,621.060974,696.375977,684.447998,2758710016
Ethereum,ETH,16/12/2017,718.38501,680.786011,686.192017,696.208984,2165690112
Ethereum,ETH,17/12/2017,735.825012,696.237,696.237,719.974976,2147389952
Ethereum,ETH,18/12/2017,803.927979,689.231018,721.731995,794.64502,3249230080
Ethereum,ETH,19/12/2017,881.94397,785.34198,793.901001,826.822998,4096549888
Ethereum,ETH,20/12/2017,845.062012,756.004028,827.515991,819.085999,3969939968
Ethereum,ETH,21/12/2017,880.54303,792.689026,820.236023,821.062988,3569060096
Ethereum,ETH,22/12/2017,827.682983,543.762024,822.643005,674.859985,4977710080
Ethereum,ETH,23/12/2017,763.89502,679.731018,681.315979,719.387024,2480339968
Ethereum,ETH,24/12/2017,721.768982,614.921997,721.768982,694.14801,2300549888
Ethereum,ETH,25/12/2017,782.520996,698.869995,698.869995,765.833984,2491760128
Ethereum,ETH,26/12/2017,786.789978,760.934998,763.369995,773.835999,2201159936
Ethereum,ETH,27/12/2017,789.252991,738.413025,774.969971,762.84198,2100029952
Ethereum,ETH,28/12/2017,763.31897,701.187012,762.208008,737.02301,2389149952
Ethereum,ETH,29/12/2017,770.117004,729.607971,740.388977,753.59198,2648969984
Ethereum,ETH,30/12/2017,753.815002,685.231018,753.815002,717.257019,3187780096
Ethereum,ETH,31/12/2017,760.348022,710.119019,712.211975,756.732971,2554269952
Ethereum,ETH,01/01/2018,782.530029,742.004028,755.757019,772.640991,2595760128
Ethereum,ETH,02/01/2018,914.830017,772.346008,772.346008,884.44397,5783349760
Ethereum,ETH,03/01/2018,974.471008,868.450989,886,962.719971,5093159936
Ethereum,ETH,04/01/2018,1045.079956,946.085999,961.713013,980.921997,6502859776
Ethereum,ETH,05/01/2018,1075.390015,956.325012,975.75,997.719971,6683149824
Ethereum,ETH,06/01/2018,1060.709961,994.622009,995.153992,1041.680054,4662219776
